title,price_gbp,price_inr,rating,in_stock,category
Thirst,17.27,1821.98,5,True,Fiction
Soumission,50.1,5285.55,1,True,Fiction
Finders Keepers (Bill Hodges Trilogy #2),53.53,5647.42,5,True,Fiction
The Regional Office Is Under Attack!,51.36,5418.48,5,True,Fiction
My Mrs. Brown,24.48,2582.64,3,True,Fiction
"We Love You, Charlie Freeman",50.27,5303.48,5,True,Fiction
The First Hostage (J.B. Collins #2),25.85,2727.18,3,True,Fiction
Private Paris (Private #10),47.61,5022.85,5,True,Fiction
The Testament of Mary,52.67,5556.68,4,True,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,3048.95,1,True,Fiction
Take Me with You,45.21,4769.66,3,True,Fiction
The Vacationers,42.15,4446.82,4,True,Fiction
I Am Pilgrim (Pilgrim #1),10.6,1118.3,4,True,Fiction
My Name Is Lucy Barton,41.56,4384.58,1,True,Fiction
Still Life with Bread Crumbs,26.41,2786.26,3,True,Fiction
The Time Keeper,27.88,2941.34,5,True,Fiction
The Murder That Never Was (Forensic Instincts #5),54.11,5708.6,3,True,Fiction
Shtum,55.84,5891.12,4,True,Fiction
Tuesday Nights in 1980,21.04,2219.72,2,True,Fiction
Eligible (The Austen Project #4),27.09,2858.0,3,True,Fiction
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,True,Mystery
Hide Away (Eve Duncan #20),11.84,1249.12,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,True,Mystery
Boar Island (Anna Pigeon #19),59.48,6275.14,3,True,Mystery
A Time of Torment (Charlie Parker #14),48.35,5100.92,5,True,Mystery
Most Wanted,35.28,3722.04,3,True,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,True,Mystery
Sharp Objects,47.82,5045.01,4,True,Mystery
The Past Never Ends,56.5,5960.75,4,True,Mystery
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,True,Mystery
The Last Mile (Amos Decker #2),54.21,5719.16,2,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,True,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,True,Mystery
"In a Dark, Dark Wood",19.63,2070.96,1,True,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4,True,Mystery
Playing with Fire,13.71,1446.41,3,True,Mystery
The Widow,27.26,2875.93,2,True,Mystery
Poisonous (Max Revere Novels #3),26.8,2827.4,3,True,Mystery
A Murder in Time,16.64,1755.52,1,True,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,True,Mystery
In the Country We Love: My Family Divided,22.0,2321.0,4,True,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,5914.33,1,True,Nonfiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3275.78,3,True,Nonfiction
Algorithms to Live By: The Computer Science of Human Decisions,30.81,3250.46,1,True,Nonfiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.1,5,True,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,4031.16,2,True,Nonfiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,1769.24,3,True,Nonfiction
The Genius of Birds,17.24,1818.82,1,True,Nonfiction
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,4060.7,5,True,Nonfiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4660.99,4,True,Nonfiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4413.06,4,True,Nonfiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3283.16,3,True,Nonfiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,4593.47,2,True,Nonfiction
So You've Been Publicly Shamed,12.23,1290.27,2,True,Nonfiction
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,4251.65,5,True,Nonfiction
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,3074.27,5,True,Nonfiction
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,5733.92,2,True,Nonfiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,3917.22,1,True,Nonfiction
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2092.06,2,True,Nonfiction
Reasons to Stay Alive,26.41,2786.26,2,True,Nonfiction
